"GEO_ID","id"
"NAME","Geographic Area Name"
"B08141_001E","Estimate!!Total:"
"B08141_001M","Margin of Error!!Total:"
"B08141_002E","Estimate!!Total:!!No vehicle available"
"B08141_002M","Margin of Error!!Total:!!No vehicle available"
"B08141_003E","Estimate!!Total:!!1 vehicle available"
"B08141_003M","Margin of Error!!Total:!!1 vehicle available"
"B08141_004E","Estimate!!Total:!!2 vehicles available"
"B08141_004M","Margin of Error!!Total:!!2 vehicles available"
"B08141_005E","Estimate!!Total:!!3 or more vehicles available"
"B08141_005M","Margin of Error!!Total:!!3 or more vehicles available"
"B08141_006E","Estimate!!Total:!!Car, truck, or van - drove alone:"
"B08141_006M","Margin of Error!!Total:!!Car, truck, or van - drove alone:"
"B08141_007E","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_007M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available"
"B08141_008E","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_008M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available"
"B08141_009E","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_009M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available"
"B08141_010E","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_010M","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available"
"B08141_011E","Estimate!!Total:!!Car, truck, or van - carpooled:"
"B08141_011M","Margin of Error!!Total:!!Car, truck, or van - carpooled:"
"B08141_012E","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_012M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available"
"B08141_013E","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
"B08141_013M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available"
"B08141_014E","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_014M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available"
"B08141_015E","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_015M","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available"
"B08141_016E","Estimate!!Total:!!Public transportation (excluding taxicab):"
"B08141_016M","Margin of Error!!Total:!!Public transportation (excluding taxicab):"
"B08141_017E","Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_017M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available"
"B08141_018E","Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_018M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available"
"B08141_019E","Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_019M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available"
"B08141_020E","Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_020M","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available"
"B08141_021E","Estimate!!Total:!!Walked:"
"B08141_021M","Margin of Error!!Total:!!Walked:"
"B08141_022E","Estimate!!Total:!!Walked:!!No vehicle available"
"B08141_022M","Margin of Error!!Total:!!Walked:!!No vehicle available"
"B08141_023E","Estimate!!Total:!!Walked:!!1 vehicle available"
"B08141_023M","Margin of Error!!Total:!!Walked:!!1 vehicle available"
"B08141_024E","Estimate!!Total:!!Walked:!!2 vehicles available"
"B08141_024M","Margin of Error!!Total:!!Walked:!!2 vehicles available"
"B08141_025E","Estimate!!Total:!!Walked:!!3 or more vehicles available"
"B08141_025M","Margin of Error!!Total:!!Walked:!!3 or more vehicles available"
"B08141_026E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_026M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08141_027E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_027M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available"
"B08141_028E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_028M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available"
"B08141_029E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_029M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available"
"B08141_030E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_030M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available"
"B08141_031E","Estimate!!Total:!!Worked from home:"
"B08141_031M","Margin of Error!!Total:!!Worked from home:"
"B08141_032E","Estimate!!Total:!!Worked from home:!!No vehicle available"
"B08141_032M","Margin of Error!!Total:!!Worked from home:!!No vehicle available"
"B08141_033E","Estimate!!Total:!!Worked from home:!!1 vehicle available"
"B08141_033M","Margin of Error!!Total:!!Worked from home:!!1 vehicle available"
"B08141_034E","Estimate!!Total:!!Worked from home:!!2 vehicles available"
"B08141_034M","Margin of Error!!Total:!!Worked from home:!!2 vehicles available"
"B08141_035E","Estimate!!Total:!!Worked from home:!!3 or more vehicles available"
"B08141_035M","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available"
