"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_002E","B08141_002M","B08141_003E","B08141_003M","B08141_004E","B08141_004M","B08141_005E","B08141_005M","B08141_006E","B08141_006M","B08141_007E","B08141_007M","B08141_008E","B08141_008M","B08141_009E","B08141_009M","B08141_010E","B08141_010M","B08141_011E","B08141_011M","B08141_012E","B08141_012M","B08141_013E","B08141_013M","B08141_014E","B08141_014M","B08141_015E","B08141_015M","B08141_016E","B08141_016M","B08141_017E","B08141_017M","B08141_018E","B08141_018M","B08141_019E","B08141_019M","B08141_020E","B08141_020M","B08141_021E","B08141_021M","B08141_022E","B08141_022M","B08141_023E","B08141_023M","B08141_024E","B08141_024M","B08141_025E","B08141_025M","B08141_026E","B08141_026M","B08141_027E","B08141_027M","B08141_028E","B08141_028M","B08141_029E","B08141_029M","B08141_030E","B08141_030M","B08141_031E","B08141_031M","B08141_032E","B08141_032M","B08141_033E","B08141_033M","B08141_034E","B08141_034M","B08141_035E","B08141_035M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 or more vehicles available","Margin of Error!!Total:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!No vehicle available","Margin of Error!!Total:!!Walked:!!No vehicle available","Estimate!!Total:!!Walked:!!1 vehicle available","Margin of Error!!Total:!!Walked:!!1 vehicle available","Estimate!!Total:!!Walked:!!2 vehicles available","Margin of Error!!Total:!!Walked:!!2 vehicles available","Estimate!!Total:!!Walked:!!3 or more vehicles available","Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!No vehicle available","Margin of Error!!Total:!!Worked from home:!!No vehicle available","Estimate!!Total:!!Worked from home:!!1 vehicle available","Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Estimate!!Total:!!Worked from home:!!2 vehicles available","Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Estimate!!Total:!!Worked from home:!!3 or more vehicles available","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available"
"1400000US36093020101","Census Tract 201.01, Schenectady County, New York","1272","167","132","93","361","108","602","170","177","122","1010","174","77","69","345","102","450","150","138","96","144","91","0","12","0","12","127","92","17","22","55","64","55","64","0","12","0","12","0","12","63","46","0","12","16","25","25","30","22","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36093020102","Census Tract 201.02, Schenectady County, New York","809","184","119","89","167","102","378","140","145","105","564","150","0","12","141","90","278","109","145","105","98","74","32","52","0","12","66","55","0","12","111","90","87","73","0","12","24","38","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","36","44","0","12","26","40","10","18","0","12"
"1400000US36093020200","Census Tract 202, Schenectady County, New York","938","248","60","61","477","149","326","202","75","64","718","219","11","17","347","118","285","186","75","64","109","85","0","12","72","71","37","42","0","12","49","59","49","59","0","12","0","12","0","12","4","7","0","12","0","12","4","7","0","12","24","37","0","12","24","37","0","12","0","12","34","40","0","12","34","40","0","12","0","12"
"1400000US36093020300","Census Tract 203, Schenectady County, New York","422","188","22","17","198","82","32","37","170","175","271","128","0","12","131","59","32","37","108","117","11","16","0","12","11","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","118","78","6","9","50","37","0","12","62","66","22","17","16","14","6","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36093020500","Census Tract 205, Schenectady County, New York","2606","367","139","147","501","150","1522","306","444","201","2142","345","107","143","393","122","1223","269","419","198","158","93","17","30","46","53","79","68","16","19","77","83","0","17","0","17","77","83","0","17","106","67","3","6","37","38","66","49","0","17","24","30","12","22","0","17","12","19","0","17","99","53","0","17","25","31","65","42","9","14"
"1400000US36093020600","Census Tract 206, Schenectady County, New York","1672","336","0","12","485","156","636","188","551","271","1454","298","0","12","366","141","592","179","496","237","104","69","0","12","53","59","34","33","17","25","23","34","0","12","23","34","0","12","0","12","10","14","0","12","0","12","10","14","0","12","0","12","0","12","0","12","0","12","0","12","81","91","0","12","43","65","0","12","38","55"
"1400000US36093020700","Census Tract 207, Schenectady County, New York","2651","424","810","414","718","286","690","234","433","164","1788","390","423","351","539","240","559","189","267","114","150","91","0","17","44","48","42","46","64","64","494","203","303","166","104","113","22","47","65","49","83","60","24","26","31","37","28","44","0","17","79","84","60","78","0","17","0","17","19","35","57","48","0","17","0","17","39","46","18","15"
"1400000US36093020800","Census Tract 208, Schenectady County, New York","1594","439","235","166","601","266","467","204","291","288","1114","406","51","58","532","242","275","189","256","274","137","82","11","17","10","16","81","68","35","56","296","177","173","149","35","54","88","78","0","12","47","53","0","12","24","38","23","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US36093020900","Census Tract 209, Schenectady County, New York","1226","333","370","215","591","255","194","173","71","74","590","216","27","46","404","186","88","79","71","74","124","158","15","21","18","31","91","153","0","12","337","194","215","177","107","77","15","25","0","12","113","82","113","82","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","62","94","0","12","62","94","0","12","0","12"
