"GEO_ID","NAME","B08012_001E","B08012_001M","B08012_002E","B08012_002M","B08012_003E","B08012_003M","B08012_004E","B08012_004M","B08012_005E","B08012_005M","B08012_006E","B08012_006M","B08012_007E","B08012_007M","B08012_008E","B08012_008M","B08012_009E","B08012_009M","B08012_010E","B08012_010M","B08012_011E","B08012_011M","B08012_012E","B08012_012M","B08012_013E","B08012_013M","B08012_014E","B08012_014M","B08012_015E","B08012_015M","B08012_016E","B08012_016M","B08012_017E","B08012_017M","B08012_018E","B08012_018M","B08012_019E","B08012_019M","B08012_020E","B08012_020M","B08012_021E","B08012_021M","B08012_022E","B08012_022M","B08012_023E","B08012_023M","B08012_024E","B08012_024M","B08012_025E","B08012_025M","B08012_026E","B08012_026M","B08012_027E","B08012_027M","B08012_028E","B08012_028M","B08012_029E","B08012_029M","B08012_030E","B08012_030M","B08012_031E","B08012_031M","B08012_032E","B08012_032M","B08012_033E","B08012_033M","B08012_034E","B08012_034M","B08012_035E","B08012_035M","B08012_036E","B08012_036M","B08012_037E","B08012_037M","B08012_038E","B08012_038M","B08012_039E","B08012_039M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Less than 5 minutes","Margin of Error!!Total:!!Male:!!Less than 5 minutes","Estimate!!Total:!!Male:!!5 to 9 minutes","Margin of Error!!Total:!!Male:!!5 to 9 minutes","Estimate!!Total:!!Male:!!10 to 14 minutes","Margin of Error!!Total:!!Male:!!10 to 14 minutes","Estimate!!Total:!!Male:!!15 to 19 minutes","Margin of Error!!Total:!!Male:!!15 to 19 minutes","Estimate!!Total:!!Male:!!20 to 24 minutes","Margin of Error!!Total:!!Male:!!20 to 24 minutes","Estimate!!Total:!!Male:!!25 to 29 minutes","Margin of Error!!Total:!!Male:!!25 to 29 minutes","Estimate!!Total:!!Male:!!30 to 34 minutes","Margin of Error!!Total:!!Male:!!30 to 34 minutes","Estimate!!Total:!!Male:!!35 to 39 minutes","Margin of Error!!Total:!!Male:!!35 to 39 minutes","Estimate!!Total:!!Male:!!40 to 44 minutes","Margin of Error!!Total:!!Male:!!40 to 44 minutes","Estimate!!Total:!!Male:!!45 to 59 minutes","Margin of Error!!Total:!!Male:!!45 to 59 minutes","Estimate!!Total:!!Male:!!60 to 89 minutes","Margin of Error!!Total:!!Male:!!60 to 89 minutes","Estimate!!Total:!!Male:!!90 or more minutes","Margin of Error!!Total:!!Male:!!90 or more minutes","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Less than 5 minutes","Margin of Error!!Total:!!Female:!!Less than 5 minutes","Estimate!!Total:!!Female:!!5 to 9 minutes","Margin of Error!!Total:!!Female:!!5 to 9 minutes","Estimate!!Total:!!Female:!!10 to 14 minutes","Margin of Error!!Total:!!Female:!!10 to 14 minutes","Estimate!!Total:!!Female:!!15 to 19 minutes","Margin of Error!!Total:!!Female:!!15 to 19 minutes","Estimate!!Total:!!Female:!!20 to 24 minutes","Margin of Error!!Total:!!Female:!!20 to 24 minutes","Estimate!!Total:!!Female:!!25 to 29 minutes","Margin of Error!!Total:!!Female:!!25 to 29 minutes","Estimate!!Total:!!Female:!!30 to 34 minutes","Margin of Error!!Total:!!Female:!!30 to 34 minutes","Estimate!!Total:!!Female:!!35 to 39 minutes","Margin of Error!!Total:!!Female:!!35 to 39 minutes","Estimate!!Total:!!Female:!!40 to 44 minutes","Margin of Error!!Total:!!Female:!!40 to 44 minutes","Estimate!!Total:!!Female:!!45 to 59 minutes","Margin of Error!!Total:!!Female:!!45 to 59 minutes","Estimate!!Total:!!Female:!!60 to 89 minutes","Margin of Error!!Total:!!Female:!!60 to 89 minutes","Estimate!!Total:!!Female:!!90 or more minutes","Margin of Error!!Total:!!Female:!!90 or more minutes"
"1400000US36093020101","Census Tract 201.01, Schenectady County, New York","1279","167","7","11","240","63","291","115","125","72","131","80","48","37","215","81","50","41","65","62","87","56","20","26","0","12","717","137","7","11","115","55","147","79","53","55","83","59","28","28","134","55","38","30","42","56","51","40","19","26","0","12","562","104","0","12","125","48","144","74","72","50","48","52","20","23","81","39","12","23","23","26","36","41","1","2","0","12"
"1400000US36093020102","Census Tract 201.02, Schenectady County, New York","773","179","0","12","39","28","262","115","57","54","20","27","95","72","115","68","40","32","35","38","65","72","35","46","10","15","297","100","0","12","18","22","106","56","16","21","20","27","37","32","43","37","22","25","11","19","24","38","0","12","0","12","476","141","0","12","21","25","156","88","41","50","0","12","58","62","72","60","18","20","24","33","41","46","35","46","10","15"
"1400000US36093020200","Census Tract 202, Schenectady County, New York","904","270","10","15","96","55","175","116","194","120","25","22","22","24","202","111","44","41","12","21","28","33","43","46","53","61","465","142","10","15","20","23","96","68","156","114","7","11","12","18","49","48","44","41","12","21","0","12","30","30","29","33","439","194","0","12","76","53","79","96","38","29","18","20","10","16","153","121","0","12","0","12","28","33","13","20","24","50"
"1400000US36093020300","Census Tract 203, Schenectady County, New York","676","198","54","61","137","51","250","121","50","32","75","77","0","12","69","49","18","17","5","8","0","12","7","12","11","15","325","112","54","61","57","28","74","36","26","21","50","75","0","12","46","44","13","17","5","8","0","12","0","12","0","12","351","123","0","12","80","48","176","111","24","21","25","21","0","12","23","22","5","8","0","12","0","12","7","12","11","15"
"1400000US36093020500","Census Tract 205, Schenectady County, New York","2507","360","29","27","338","133","457","153","205","69","348","102","137","74","422","124","98","62","156","108","261","104","44","36","12","19","1223","213","9","15","159","86","255","127","114","49","199","81","79","60","191","71","51","47","29","44","112","74","13","16","12","19","1284","234","20","22","179","83","202","82","91","56","149","71","58","38","231","113","47","38","127","86","149","77","31","29","0","17"
"1400000US36093020600","Census Tract 206, Schenectady County, New York","1591","311","44","46","287","138","279","110","244","97","124","79","69","62","259","108","55","51","43","54","159","91","21","23","7","13","720","204","37","45","0","12","126","67","170","86","80","57","20","33","81","51","36","37","43","54","106","77","21","23","0","12","871","187","7","10","287","138","153","81","74","57","44","36","49","52","178","84","19","22","0","12","53","50","0","12","7","13"
"1400000US36093020700","Census Tract 207, Schenectady County, New York","2596","425","75","55","394","247","472","121","406","173","335","172","115","78","501","207","39","48","54","62","136","134","55","60","14","21","1425","306","63","55","195","143","203","80","246","140","143","95","92","74","318","180","20","37","39","45","86","129","6","22","14","21","1171","284","12","19","199","127","269","95","160","92","192","136","23","20","183","106","19","31","15","32","50","39","49","59","0","17"
"1400000US36093020800","Census Tract 208, Schenectady County, New York","1595","439","34","37","23","26","335","157","435","187","139","92","128","144","368","275","10","14","12","18","64","64","47","47","0","12","848","275","11","16","9","14","169","138","189","126","47","51","128","144","183","105","0","12","12","18","53","62","47","47","0","12","747","268","23","25","14","19","166","104","246","119","92","78","0","12","185","193","10","14","0","12","11","18","0","12","0","12"
"1400000US36093020900","Census Tract 209, Schenectady County, New York","1165","314","54","85","59","79","285","154","229","129","103","76","65","48","216","108","57","83","0","12","12","25","53","58","32","47","604","204","54","85","59","79","109","81","153","120","24","27","65","48","96","85","0","12","0","12","12","25","0","12","32","47","561","207","0","12","0","12","176","139","76","61","79","76","0","12","120","103","57","83","0","12","0","12","53","58","0","12"
