"GEO_ID","id"
"NAME","Geographic Area Name"
"B08012_001E","Estimate!!Total:"
"B08012_001M","Margin of Error!!Total:"
"B08012_002E","Estimate!!Total:!!Less than 5 minutes"
"B08012_002M","Margin of Error!!Total:!!Less than 5 minutes"
"B08012_003E","Estimate!!Total:!!5 to 9 minutes"
"B08012_003M","Margin of Error!!Total:!!5 to 9 minutes"
"B08012_004E","Estimate!!Total:!!10 to 14 minutes"
"B08012_004M","Margin of Error!!Total:!!10 to 14 minutes"
"B08012_005E","Estimate!!Total:!!15 to 19 minutes"
"B08012_005M","Margin of Error!!Total:!!15 to 19 minutes"
"B08012_006E","Estimate!!Total:!!20 to 24 minutes"
"B08012_006M","Margin of Error!!Total:!!20 to 24 minutes"
"B08012_007E","Estimate!!Total:!!25 to 29 minutes"
"B08012_007M","Margin of Error!!Total:!!25 to 29 minutes"
"B08012_008E","Estimate!!Total:!!30 to 34 minutes"
"B08012_008M","Margin of Error!!Total:!!30 to 34 minutes"
"B08012_009E","Estimate!!Total:!!35 to 39 minutes"
"B08012_009M","Margin of Error!!Total:!!35 to 39 minutes"
"B08012_010E","Estimate!!Total:!!40 to 44 minutes"
"B08012_010M","Margin of Error!!Total:!!40 to 44 minutes"
"B08012_011E","Estimate!!Total:!!45 to 59 minutes"
"B08012_011M","Margin of Error!!Total:!!45 to 59 minutes"
"B08012_012E","Estimate!!Total:!!60 to 89 minutes"
"B08012_012M","Margin of Error!!Total:!!60 to 89 minutes"
"B08012_013E","Estimate!!Total:!!90 or more minutes"
"B08012_013M","Margin of Error!!Total:!!90 or more minutes"
"B08012_014E","Estimate!!Total:!!Male:"
"B08012_014M","Margin of Error!!Total:!!Male:"
"B08012_015E","Estimate!!Total:!!Male:!!Less than 5 minutes"
"B08012_015M","Margin of Error!!Total:!!Male:!!Less than 5 minutes"
"B08012_016E","Estimate!!Total:!!Male:!!5 to 9 minutes"
"B08012_016M","Margin of Error!!Total:!!Male:!!5 to 9 minutes"
"B08012_017E","Estimate!!Total:!!Male:!!10 to 14 minutes"
"B08012_017M","Margin of Error!!Total:!!Male:!!10 to 14 minutes"
"B08012_018E","Estimate!!Total:!!Male:!!15 to 19 minutes"
"B08012_018M","Margin of Error!!Total:!!Male:!!15 to 19 minutes"
"B08012_019E","Estimate!!Total:!!Male:!!20 to 24 minutes"
"B08012_019M","Margin of Error!!Total:!!Male:!!20 to 24 minutes"
"B08012_020E","Estimate!!Total:!!Male:!!25 to 29 minutes"
"B08012_020M","Margin of Error!!Total:!!Male:!!25 to 29 minutes"
"B08012_021E","Estimate!!Total:!!Male:!!30 to 34 minutes"
"B08012_021M","Margin of Error!!Total:!!Male:!!30 to 34 minutes"
"B08012_022E","Estimate!!Total:!!Male:!!35 to 39 minutes"
"B08012_022M","Margin of Error!!Total:!!Male:!!35 to 39 minutes"
"B08012_023E","Estimate!!Total:!!Male:!!40 to 44 minutes"
"B08012_023M","Margin of Error!!Total:!!Male:!!40 to 44 minutes"
"B08012_024E","Estimate!!Total:!!Male:!!45 to 59 minutes"
"B08012_024M","Margin of Error!!Total:!!Male:!!45 to 59 minutes"
"B08012_025E","Estimate!!Total:!!Male:!!60 to 89 minutes"
"B08012_025M","Margin of Error!!Total:!!Male:!!60 to 89 minutes"
"B08012_026E","Estimate!!Total:!!Male:!!90 or more minutes"
"B08012_026M","Margin of Error!!Total:!!Male:!!90 or more minutes"
"B08012_027E","Estimate!!Total:!!Female:"
"B08012_027M","Margin of Error!!Total:!!Female:"
"B08012_028E","Estimate!!Total:!!Female:!!Less than 5 minutes"
"B08012_028M","Margin of Error!!Total:!!Female:!!Less than 5 minutes"
"B08012_029E","Estimate!!Total:!!Female:!!5 to 9 minutes"
"B08012_029M","Margin of Error!!Total:!!Female:!!5 to 9 minutes"
"B08012_030E","Estimate!!Total:!!Female:!!10 to 14 minutes"
"B08012_030M","Margin of Error!!Total:!!Female:!!10 to 14 minutes"
"B08012_031E","Estimate!!Total:!!Female:!!15 to 19 minutes"
"B08012_031M","Margin of Error!!Total:!!Female:!!15 to 19 minutes"
"B08012_032E","Estimate!!Total:!!Female:!!20 to 24 minutes"
"B08012_032M","Margin of Error!!Total:!!Female:!!20 to 24 minutes"
"B08012_033E","Estimate!!Total:!!Female:!!25 to 29 minutes"
"B08012_033M","Margin of Error!!Total:!!Female:!!25 to 29 minutes"
"B08012_034E","Estimate!!Total:!!Female:!!30 to 34 minutes"
"B08012_034M","Margin of Error!!Total:!!Female:!!30 to 34 minutes"
"B08012_035E","Estimate!!Total:!!Female:!!35 to 39 minutes"
"B08012_035M","Margin of Error!!Total:!!Female:!!35 to 39 minutes"
"B08012_036E","Estimate!!Total:!!Female:!!40 to 44 minutes"
"B08012_036M","Margin of Error!!Total:!!Female:!!40 to 44 minutes"
"B08012_037E","Estimate!!Total:!!Female:!!45 to 59 minutes"
"B08012_037M","Margin of Error!!Total:!!Female:!!45 to 59 minutes"
"B08012_038E","Estimate!!Total:!!Female:!!60 to 89 minutes"
"B08012_038M","Margin of Error!!Total:!!Female:!!60 to 89 minutes"
"B08012_039E","Estimate!!Total:!!Female:!!90 or more minutes"
"B08012_039M","Margin of Error!!Total:!!Female:!!90 or more minutes"
